timestamp,title,description,event_type,impact_direction,severity,confidence,affected_sectors,mapped_assets
2021-06-04T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.3000 versus a rolling baseline of -0.1333, creating a macro surprise of -0.1667.",economic_data,positive,medium,0.75,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-06-10T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0066 versus a rolling baseline of 0.0040, creating a macro surprise of 0.0026.",inflation,negative,medium,0.76,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2021-07-02T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.1000 versus a rolling baseline of -0.1500, creating a macro surprise of 0.2500.",economic_data,negative,high,0.85,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-07-13T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0085 versus a rolling baseline of 0.0047, creating a macro surprise of 0.0037.",inflation,negative,high,0.85,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2021-08-06T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.5000 versus a rolling baseline of -0.1333, creating a macro surprise of -0.3667.",economic_data,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-09-03T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.3000 versus a rolling baseline of -0.1667, creating a macro surprise of -0.1333.",economic_data,positive,medium,0.71,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-09-14T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0028 versus a rolling baseline of 0.0058, creating a macro surprise of -0.0029.",inflation,positive,medium,0.78,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2021-10-08T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.4000 versus a rolling baseline of -0.1833, creating a macro surprise of -0.2167.",economic_data,positive,high,0.81,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-11-10T08:30:00-05:00,CPI runs above trend,"CPI moved by 0.0096 versus a rolling baseline of 0.0056, creating a macro surprise of 0.0041.",inflation,negative,high,0.88,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2021-12-03T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.4000 versus a rolling baseline of -0.2667, creating a macro surprise of -0.1333.",economic_data,positive,medium,0.71,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-12-10T08:30:00-05:00,CPI runs above trend,"CPI moved by 0.0086 versus a rolling baseline of 0.0061, creating a macro surprise of 0.0024.",inflation,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-02-04T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.1000 versus a rolling baseline of -0.3333, creating a macro surprise of 0.4333.",economic_data,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2022-03-04T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of -0.2333, creating a macro surprise of 0.1333.",economic_data,negative,medium,0.71,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2022-04-12T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0112 versus a rolling baseline of 0.0071, creating a macro surprise of 0.0041.",inflation,negative,high,0.87,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-05-06T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.0000 versus a rolling baseline of -0.1667, creating a macro surprise of 0.1667.",economic_data,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2022-05-11T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0031 versus a rolling baseline of 0.0082, creating a macro surprise of -0.0051.",inflation,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-06-10T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0095 versus a rolling baseline of 0.0071, creating a macro surprise of 0.0024.",inflation,negative,medium,0.74,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-07-13T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0126 versus a rolling baseline of 0.0073, creating a macro surprise of 0.0053.",inflation,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-08-10T08:30:00-04:00,CPI runs below trend,"CPI moved by -0.0001 versus a rolling baseline of 0.0082, creating a macro surprise of -0.0084.",inflation,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-09-02T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.1000 versus a rolling baseline of -0.0833, creating a macro surprise of 0.1833.",economic_data,negative,medium,0.77,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2022-09-13T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0006 versus a rolling baseline of 0.0072, creating a macro surprise of -0.0066.",inflation,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-10-13T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0042 versus a rolling baseline of 0.0061, creating a macro surprise of -0.0019.",inflation,positive,medium,0.70,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2022-11-04T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.1000 versus a rolling baseline of -0.0333, creating a macro surprise of 0.1333.",economic_data,negative,medium,0.71,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2022-12-13T08:30:00-05:00,CPI runs below trend,"CPI moved by 0.0026 versus a rolling baseline of 0.0054, creating a macro surprise of -0.0028.",inflation,positive,medium,0.77,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-01-06T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0000, creating a macro surprise of -0.1000.",economic_data,positive,low,0.67,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-01-12T08:30:00-05:00,CPI runs below trend,"CPI moved by 0.0002 versus a rolling baseline of 0.0042, creating a macro surprise of -0.0041.",inflation,positive,high,0.88,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-02-14T08:30:00-05:00,CPI runs above trend,"CPI moved by 0.0053 versus a rolling baseline of 0.0022, creating a macro surprise of 0.0031.",inflation,negative,high,0.80,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-03-10T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.1000 versus a rolling baseline of 0.0000, creating a macro surprise of 0.1000.",economic_data,negative,low,0.67,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-04-07T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0000, creating a macro surprise of -0.1000.",economic_data,positive,low,0.67,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-04-12T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0012 versus a rolling baseline of 0.0036, creating a macro surprise of -0.0023.",inflation,positive,medium,0.74,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-05-05T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0000, creating a macro surprise of -0.1000.",economic_data,positive,low,0.67,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-06-02T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.2000 versus a rolling baseline of -0.0333, creating a macro surprise of 0.2333.",economic_data,negative,high,0.83,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-08-04T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0167, creating a macro surprise of -0.1167.",economic_data,positive,low,0.69,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-09-01T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.2000 versus a rolling baseline of 0.0000, creating a macro surprise of 0.2000.",economic_data,negative,high,0.79,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-09-13T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0048 versus a rolling baseline of 0.0023, creating a macro surprise of 0.0025.",inflation,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-11-03T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.2000 versus a rolling baseline of 0.0333, creating a macro surprise of 0.1667.",economic_data,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2023-11-14T08:30:00-05:00,CPI runs below trend,"CPI moved by 0.0014 versus a rolling baseline of 0.0030, creating a macro surprise of -0.0016.",inflation,positive,low,0.68,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2023-12-08T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.2000 versus a rolling baseline of 0.0833, creating a macro surprise of -0.2833.",economic_data,positive,high,0.89,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2024-02-02T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0333, creating a macro surprise of -0.1333.",economic_data,positive,medium,0.71,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2024-03-08T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.2000 versus a rolling baseline of 0.0333, creating a macro surprise of 0.1667.",economic_data,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2024-04-10T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0044 versus a rolling baseline of 0.0026, creating a macro surprise of 0.0018.",inflation,negative,low,0.69,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2024-06-12T08:30:00-04:00,CPI runs below trend,"CPI moved by 0.0005 versus a rolling baseline of 0.0029, creating a macro surprise of -0.0024.",inflation,positive,medium,0.74,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2024-07-05T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.2000 versus a rolling baseline of 0.0333, creating a macro surprise of 0.1667.",economic_data,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2024-07-11T08:30:00-04:00,CPI runs below trend,"CPI moved by -0.0004 versus a rolling baseline of 0.0027, creating a macro surprise of -0.0031.",inflation,positive,high,0.80,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2024-10-04T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0500, creating a macro surprise of -0.1500.",economic_data,positive,medium,0.73,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2024-11-13T08:30:00-05:00,CPI runs above trend,"CPI moved by 0.0029 versus a rolling baseline of 0.0013, creating a macro surprise of 0.0016.",inflation,negative,low,0.68,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2025-01-10T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of 0.0500, creating a macro surprise of -0.1500.",economic_data,positive,medium,0.73,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2025-01-15T08:30:00-05:00,CPI runs above trend,"CPI moved by 0.0034 versus a rolling baseline of 0.0018, creating a macro surprise of 0.0016.",inflation,negative,low,0.68,broad_market;technology;rates,SPY;QQQ;TLT;GLD
